approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.003552378,0.034167998,0.9280055835843086,24.82,5.163995,229782,-0.0050551165,0.5572245911477512,22250,89,29.256964445114136,-0.0032042875,2225000,0.06696906
0.002714988,0.02152,0.9394359737634659,29.32,5.1545987,227951,-0.003075286,0.6729474429563015,22500,90,29.58517360687256,-0.0031277735,2250000,0.057992667
0.0030641297,0.028663998,0.9333512559533119,29.82,5.1405487,223319,-0.002950325,0.7214762787049722,22750,91,29.919517040252686,-0.0035787139,2275000,0.065336324
0.0028423015,0.02584,0.9335352554917336,27.63,5.1286683,239817,-0.0023102632,0.40842486973413544,23000,92,30.252140998840332,-0.0029377756,2300000,0.061733477
0.0032251172,0.029527998,0.9326914772391319,26.81,5.1224165,224115,-0.009901044,0.3867736433077698,23250,93,30.574357271194458,-0.0032505374,2325000,0.067984894
0.0029947055,0.025907999,0.9368760138750076,27.63,5.1147604,241302,-0.0018570975,0.44312409158126687,23500,94,30.906707286834717,-0.002897505,2350000,0.05804395
0.0036019408,0.037192,0.9378230907022953,29.32,5.1056037,230331,-0.0007122628,0.5315450285994302,23750,95,31.223544359207153,-0.0034335726,2375000,0.05523951
0.0030749394,0.026884,0.9393884912133217,25.88,5.097092,237093,-0.0034564084,0.6932361548824701,24000,96,31.55169439315796,-0.0033361935,2400000,0.058929227
0.0036664442,0.037252,0.9423707202076912,29.85,5.091791,239538,-0.0025701642,0.22726754281911782,24250,97,31.882853746414185,-0.0029107335,2425000,0.049861513
0.0032765814,0.032748003,0.9430161975324154,26.58,5.087447,235524,-0.0038109664,0.4590374703385896,24500,98,32.20636487007141,-0.0031689312,2450000,0.051031332
0.0028156938,0.022716,0.9451479241251945,25.93,5.0852957,232209,-0.002460279,0.6492849707618142,24750,99,32.533462047576904,-0.002761478,2475000,0.04834328
0.0033347956,0.034392,0.935016430914402,25.13,5.083207,235466,-0.004741663,0.590485748513911,25000,100,32.85957312583923,-0.0031880564,2500000,0.059102297
0.0027280664,0.022756001,0.9428881444036961,28.41,5.0820637,222426,-0.0024738743,0.5616441167375887,25250,101,33.17876577377319,-0.0030138716,2525000,0.053835236
0.0033038035,0.0327,0.9491397105157375,28.46,5.0770555,228436,-0.00061839656,0.5193585492089915,25500,102,33.51399636268616,-0.0032495707,2550000,0.049506925
0.0032091383,0.028328001,0.942593228071928,27.7,5.0690303,227772,-0.0033251834,0.5871758881254209,25750,103,33.847551107406616,-0.0025286633,2575000,0.05445376
0.0030621963,0.027048001,0.9477788470685482,25.72,5.0592356,233584,-0.002589094,0.5390695679251803,26000,104,34.168816804885864,-0.0028481367,2600000,0.05003339
0.0028448612,0.024392,0.9444478563964367,28.95,5.0503454,233490,-0.0029226497,0.540727819264448,26250,105,34.50238227844238,-0.002479404,2625000,0.052699577
0.0027551886,0.021444,0.9409878700971603,27.6,5.0424967,219589,-0.0057992577,0.6412493657394407,26500,106,34.833346128463745,-0.0027016771,2650000,0.052438527
0.003348076,0.032759998,0.9458895660936832,26.19,5.033072,222657,-0.003296661,0.6346522248343718,26750,107,35.164639472961426,-0.0032912784,2675000,0.04805053
