value_loss,serial_timesteps,time_elapsed,total_timesteps,ep_len_mean,clipfrac,n_updates,fps,approxkl,true_reward,explained_variance,policy_entropy,policy_loss,ep_reward_mean
0.117171705,30250,572.1223406791687,3025000,48.1,0.12054801,121,5829,0.009736516,0.12546739,0.9682024866342545,4.5133185,-0.0047028894,5.660672507099807
0.1319931,30500,576.6657433509827,3050000,46.3,0.116536,122,6161,0.009132155,0.12732948,0.9649219997227192,4.5047455,-0.005746006,5.411022400222719
0.08411501,30750,580.9751172065735,3075000,46.14,0.120628,123,6189,0.0094038835,0.12636785,0.9780905153602362,4.4955835,-0.0065395557,5.518604634553194
0.13680902,31000,585.2767617702484,3100000,48.61,0.12427999,124,6127,0.009565128,0.12567697,0.9653663709759712,4.4870453,-0.005864327,5.508245448293164
0.09703772,31250,589.6138532161713,3125000,44.03,0.107752,125,6190,0.00822613,0.12623551,0.9761199578642845,4.478719,-0.005812298,5.106356819085777
0.09247646,31500,593.9015364646912,3150000,54.68,0.115531996,126,5964,0.008701257,0.12748852,0.9772731382399797,4.465842,-0.004588981,6.727802408225834
0.1007155,31750,598.3530757427216,3175000,51.82,0.119636014,127,6100,0.009278426,0.12609653,0.9745185114443302,4.4458847,-0.006375971,6.188480237945914
0.14022778,32000,602.7073340415955,3200000,58.11,0.12537201,128,6330,0.009264307,0.12412049,0.9642329700291157,4.4223723,-0.0046329782,7.029705030806363
0.11678213,32250,606.9018473625183,3225000,57.49,0.11835599,129,6248,0.009260174,0.12481697,0.971484337002039,4.4009757,-0.006098234,6.956211430607364
0.11939696,32500,611.1592247486115,3250000,62.45,0.109263994,130,6695,0.008529794,0.12539147,0.9710862655192614,4.381234,-0.006203822,7.718363302312792
0.09733616,32750,615.1467456817627,3275000,53.51,0.13044402,131,6284,0.010685496,0.1280838,0.9765827655792236,4.363688,-0.005585146,6.50831336915493
0.101870656,33000,619.3672297000885,3300000,60.15,0.100751996,132,6361,0.007990838,0.12906097,0.9757979232817888,4.3426557,-0.00636352,7.508869107319042
0.14152701,33250,623.5505585670471,3325000,54.03,0.19854,133,6620,0.016258927,0.13054802,0.9662634022533894,4.323386,0.0017974187,6.789455909021199
0.15184091,33500,627.5798537731171,3350000,46.13,0.106428005,134,6368,0.008381536,0.12743284,0.9627545475959778,4.3156195,-0.0049067643,5.423337418735027
0.137042,33750,631.7578778266907,3375000,54.2,0.158124,135,6394,0.012495732,0.12797678,0.9693841561675072,4.311923,-0.0010585568,6.642412507608533
0.13080144,34000,635.9219646453857,3400000,52.87,0.100124,136,6418,0.007831501,0.1257712,0.9691611006855965,4.30861,-0.005287306,6.300190174356103
0.12904754,34250,640.0783298015594,3425000,47.13,0.10484,137,6305,0.0082764495,0.1265824,0.9700959715992212,4.302819,-0.006026934,5.499764605602249
