n_updates,fps,policy_loss,approxkl,value_loss,policy_entropy,true_reward,total_timesteps,ep_len_mean,clipfrac,serial_timesteps,time_elapsed,ep_reward_mean,explained_variance
142,218876,-0.0025339057,0.005486736,0.031382974,4.7598577,0.02643026,3550000,36.35,0.066800006,35500,46.85413956642151,1.80939735127542,0.9782108850777149
143,240567,-0.002959894,0.00462509,0.027475715,4.752599,0.024958491,3575000,33.51,0.051348,35750,47.19397711753845,1.9802789187526832,0.982154855504632
144,242688,-0.0037913986,0.0039095297,0.13030022,4.749079,0.02482197,3600000,41.29,0.037963998,36000,47.51405477523804,2.2929821836261,0.93212890625
145,238841,-0.003510839,0.0043794108,0.04476108,4.747965,0.03321739,3625000,43.58,0.049588,36250,47.8359489440918,2.541025058394298,0.9735800642520189
146,253815,-0.002957935,0.004088155,0.06318403,4.744964,0.030181084,3650000,45.91,0.043007996,36500,48.16769504547119,2.348107933777301,0.9661506973206997
147,214189,-0.003144401,0.0033830088,0.09238414,4.74195,0.027657084,3675000,51.57,0.030243998,36750,48.49282884597778,2.434741507919607,0.9527943395078182
148,227615,-0.0034925255,0.003940638,0.14492221,4.7417493,0.02507341,3700000,58.94,0.04012,37000,48.82714128494263,2.6465701943073645,0.9358059614896774
149,233595,-0.002470993,0.0017859393,1.0998007,4.742491,0.017188298,3725000,70.49,0.013044,37250,49.150395154953,0.8155830936487473,0.787568524479866
150,250041,-0.0036451896,0.0031892671,0.22150509,4.744215,0.02522223,3750000,53.77,0.029512,37500,49.47478628158569,3.0405637337637925,0.9178774133324623
151,229432,-0.003166853,0.0030998215,2.3870845,4.746064,0.0055741863,3775000,72.02,0.027088001,37750,49.79369139671326,0.22710161231590972,0.7698369026184082
152,250188,-0.0016435025,0.0025390934,3.498099,4.7486997,0.0037589697,3800000,65.41,0.019828,38000,50.12113666534424,0.627866960728179,0.7389771044254303
153,244928,-1.0702992e-06,0.002398052,4.025419,4.7499776,0.0040495642,3825000,76.95,0.017496001,38250,50.43450951576233,-1.7822825990817364,0.7254100441932678
154,221591,-0.0019235291,0.0014948865,2.4061882,4.751624,0.011793932,3850000,83.63,0.010252,38500,50.756619691848755,-0.9145093859561894,0.7896939069032669
155,232110,-0.0030691507,0.0026639944,1.7492278,4.753173,0.016522346,3875000,83.91,0.02018,38750,51.084704637527466,1.458558946114863,0.8290259838104248
156,235310,-0.0032642432,0.0020093801,3.186789,4.7543955,0.010787788,3900000,85.52,0.013623999,39000,51.40905141830444,-0.4923413740601791,0.7771571129560471
157,228517,-0.0022373504,0.0018192579,2.0548048,4.7558546,0.008269736,3925000,88.44,0.013364,39250,51.725624322891235,-0.016094335370635236,0.8576220571994781
158,238242,-0.0024141546,0.0017690861,1.4817941,4.756585,0.013567862,3950000,90.7,0.012275999,39500,52.0475492477417,1.7737117034920267,0.8730480223894119
159,244533,-0.0012438309,0.0034909989,0.399462,4.7573195,0.024383144,3975000,76.7,0.03844,39750,52.36220359802246,3.6918776475460073,0.9277972728013992
160,243736,-0.0013970976,0.003055114,0.6011845,4.7571144,0.016628513,4000000,81.63,0.028044004,40000,52.68335175514221,1.8681665560956207,0.923814095556736
161,232937,-0.00092725706,0.0034710323,0.34342477,4.7574954,0.024769368,4025000,90.91,0.039644,40250,53.00601863861084,3.0824659106758374,0.9436731487512589
162,243926,-0.0022222279,0.003021047,0.40141124,4.7582526,0.020261377,4050000,88.42,0.024156,40500,53.32481789588928,2.928562765482161,0.9378064200282097
163,238798,-0.0016267892,0.002150631,0.5908097,4.7590985,0.019962413,4075000,89.21,0.015531999,40750,53.6388144493103,2.911932879826127,0.9216760322451591
164,237230,-0.0014430098,0.0020888967,0.3807733,4.7599535,0.027150651,4100000,105.25,0.0136319995,41000,53.964582204818726,4.30654013364614,0.9451928548514843
165,251118,-0.0011728539,0.0029123116,1.0737945,4.7603984,0.023509739,4125000,97.97,0.027331999,41250,54.28465986251831,3.167372590815576,0.9079383239150047
166,229482,-0.0019223398,0.0021899836,0.40878916,4.761619,0.03401897,4150000,109.49,0.016988,41500,54.60346984863281,5.311864757872477,0.9376142285764217
167,227172,-0.0029733283,0.0030968604,0.40545636,4.761116,0.02922825,4175000,116.76,0.027824,41750,54.93430805206299,5.287802263573249,0.9502992406487465
168,235884,-0.0034635807,0.0044916426,0.18424007,4.7591963,0.038586847,4200000,108.95,0.050056,42000,55.25166296958923,7.042163623195538,0.9555179476737976
169,237666,-0.0041109286,0.005075271,0.18422267,4.7573366,0.04002398,4225000,121.21,0.062036,42250,55.568154096603394,7.2891003704211474,0.9556332789361477
170,219302,-0.003728979,0.0045677014,0.19649506,4.756163,0.03494126,4250000,107.11,0.051564,42500,55.89192199707031,6.523087614379692,0.9537742361426353
171,245258,-0.003462249,0.0036029634,0.18395779,4.752828,0.044585783,4275000,139.51,0.036179997,42750,56.21618103981018,9.236625729181851,0.9644476845860481
172,234978,-0.0022523191,0.0034832745,0.19678771,4.7481318,0.045190517,4300000,154.81,0.03396,43000,56.53303790092468,10.191532123269353,0.963214423507452
173,239312,-0.0015592359,0.002475807,0.22638504,4.743575,0.04422524,4325000,151.17,0.018439999,43250,56.85675573348999,9.453010158900616,0.962716605514288
174,238078,-0.0025135046,0.0028932816,0.24158745,4.740022,0.051537514,4350000,179.09,0.023863997,43500,57.16955542564392,11.865100142977626,0.9587572403252125
175,246531,-0.002383661,0.0034330569,0.33362615,4.7363653,0.044492774,4375000,154.61,0.032984003,43750,57.48650860786438,10.038056914024539,0.9496013522148132
176,231688,-0.0026636706,0.0024319603,0.21474865,4.733676,0.053628057,4400000,172.38,0.021620002,44000,57.79839277267456,11.63634164251076,0.9655024483799934
177,260003,-0.0023317267,0.003085394,0.21124068,4.730855,0.056670137,4425000,195.31,0.030552,44250,58.113985538482666,13.436428953836076,0.9650370329618454
178,236803,-0.0026125086,0.0033061262,0.20559898,4.7286644,0.055233214,4450000,190.39,0.031876,44500,58.41848683357239,12.981777616271593,0.9684028774499893
179,234524,-0.0018180035,0.0021931618,0.19643395,4.7264633,0.056077145,4475000,193.76,0.015016002,44750,58.734633922576904,13.487648952293457,0.9688788205385208
180,251028,-0.0021249508,0.0028401022,0.21865597,4.723774,0.056217413,4500000,203.42,0.024408001,45000,59.04852294921875,13.826381832366346,0.9664387404918671
181,220769,-0.0018645624,0.002144761,0.20749442,4.7207375,0.06075076,4525000,194.75,0.019064,45250,59.35836696624756,14.449517172537908,0.9663120619952679
182,243084,-0.0024203085,0.0031452742,0.2123582,4.716592,0.0623925,4550000,205.97,0.029,45500,59.68860149383545,14.848630520113876,0.9606639333069324
183,231043,-0.0020406176,0.0020263272,0.23056224,4.7135634,0.057886027,4575000,199.95,0.0154760005,45750,60.00392436981201,13.918087184752949,0.9669037535786629
184,238584,-0.0018126847,0.0027603165,0.24111159,4.7117743,0.058691226,4600000,211.49,0.022796001,46000,60.321253061294556,14.36357037718628,0.9615714214742184
185,234692,-0.0018075971,0.0015225287,0.23763695,4.7100935,0.060235042,4625000,204.77,0.008156,46250,60.635485887527466,14.574805945747517,0.9630899764597416
186,250123,-0.0021780445,0.002510738,0.23994097,4.7076216,0.0638111,4650000,207.02,0.018476,46500,60.94624853134155,15.525437221535045,0.960113137960434
187,239470,-0.0019130905,0.003019283,0.20020044,4.7046857,0.0648878,4675000,217.89,0.031224001,46750,61.258766412734985,15.849837707716787,0.9661552980542183
188,242393,-0.0027601856,0.0037180535,0.22995503,4.702352,0.06151819,4700000,214.23,0.037456,47000,61.57136821746826,15.756674056293523,0.9658914506435394
189,242086,-0.001759878,0.0016969403,0.20556076,4.700071,0.06416894,4725000,215.19,0.0099639995,47250,61.88520550727844,15.759641815480062,0.9687454178929329
190,249714,-0.0020851057,0.0020366223,0.19327816,4.6981163,0.06367731,4750000,220.98,0.0144839985,47500,62.19378662109375,15.808349930319237,0.9665593914687634
191,248143,-0.002101854,0.0024522555,0.18428092,4.6952333,0.0686698,4775000,228.43,0.021748,47750,62.49882650375366,16.91204269319074,0.9603547565639019
192,247212,-0.003006278,0.0032597792,0.25782984,4.6930666,0.060390018,4800000,216.28,0.030136,48000,62.808772563934326,15.351170318683012,0.9618363194167614
193,241381,-0.0036017944,0.003338261,0.18664381,4.6907988,0.06676214,4825000,223.23,0.030116001,48250,63.11617851257324,16.577848201536852,0.9645056761801243
194,249699,-0.0027045165,0.0038527497,0.18018399,4.6849585,0.06858779,4850000,227.75,0.039040003,48500,63.42650508880615,17.135367235417757,0.9656559452414513
195,252455,-0.0028540778,0.004123573,0.16349235,4.682285,0.06800396,4875000,225.2,0.043647997,48750,63.73794627189636,16.80469539426784,0.9684611894190311
