serial_timesteps,true_reward,total_timesteps,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,approxkl,value_loss,clipfrac,n_updates,policy_loss,fps,ep_len_mean
23500,-0.18828087,2350000,88.20201754570007,5.034739,-4.887901984234195,0.8755057007074356,0.034371104,2.2804217,0.175608,94,0.017657511,93572,34.24
23750,-0.19035935,2375000,88.79390501976013,5.01291,-5.066167311713434,0.8724725693464279,0.026079755,2.1658177,0.17470801,95,0.013155321,53328,32.87
24000,-0.18402472,2400000,89.7343533039093,4.9964247,-3.9457924523655676,0.8672271519899368,0.012713021,2.3094554,0.134832,96,0.004380785,36207,29.13
24250,-0.16441955,2425000,90.87161111831665,4.985383,-3.937189943738558,0.8992169797420502,0.029215712,1.3692302,0.184692,97,0.017916396,56052,31.76
24500,-0.16174726,2450000,91.83647131919861,4.9720154,-4.064358424699603,0.8885888606309891,0.05532501,1.4481972,0.19921999,98,0.029113423,25383,33.78
24750,-0.15688527,2475000,93.32435083389282,4.970526,-3.3349084058711016,0.8644059002399445,0.07610747,1.8062937,0.24375203,99,0.03860531,59955,32.84
25000,-0.15865062,2500000,94.2158875465393,4.9705076,-5.158023539803471,0.8546065837144852,0.020322714,1.6308401,0.18965201,100,0.007612294,53621,34.87
25250,-0.16107719,2525000,95.114572763443,4.9637423,-3.732465259890596,0.8678425550460815,0.040165816,1.4121407,0.262268,101,0.022943674,67181,35.43
25500,-0.16211075,2550000,95.89238452911377,4.9561095,-3.898206271285089,0.8368942737579346,0.014532493,1.6982744,0.15483198,102,0.0037559427,57795,32.3
25750,-0.15224119,2575000,96.75242567062378,4.940285,-5.043890867136724,0.8583553433418274,0.008873021,1.2829384,0.112243995,103,-0.0024036593,51392,35.72
26000,-0.15592194,2600000,97.70012307167053,4.9275846,-4.2851574148409055,0.8720358312129974,0.06503619,1.1396425,0.265072,104,0.030453617,41951,34.16
26250,-0.14554211,2625000,98.72677993774414,4.915864,-3.8472865053698477,0.8591906875371933,0.012210801,1.2282405,0.15326801,105,0.00066029764,50363,32.94
26500,-0.13884349,2650000,99.65312695503235,4.899255,-3.667451857142514,0.8726882934570312,0.0119115,1.0646075,0.126112,106,0.0026386972,47146,33.37
26750,-0.13027386,2675000,100.62817144393921,4.884613,-3.542017621750747,0.8616171777248383,0.016949292,1.0488956,0.155312,107,0.0062067886,56431,33.46
