ep_reward_mean,policy_loss,value_loss,true_reward,approxkl,explained_variance,total_timesteps,serial_timesteps,ep_len_mean,fps,policy_entropy,n_updates,time_elapsed,clipfrac
-35.305109117604154,-0.00068901083,165.03622,-1.6753085,0.00067573163,0.7244483828544617,3300000,33000,39.17,231324,5.766755,132,47.44881820678711,0.004028
-34.065497825753994,-0.0008170128,159.77866,-1.669619,0.00088344625,0.7265438139438629,3325000,33250,42.24,226367,5.766865,133,47.80143642425537,0.0056479997
-36.13860866774689,-0.00056920794,157.02466,-1.6127781,0.0004091878,0.7503509819507599,3350000,33500,41.76,221713,5.7669244,134,48.15548872947693,0.0016560002
-28.911613288743247,-0.0008534314,170.28908,-1.6918856,0.00078138674,0.7329423725605011,3375000,33750,34.04,222624,5.767001,135,48.50614142417908,0.00476
-24.053807951477356,-0.0004700222,179.40675,-1.7231703,0.0008848673,0.7296472489833832,3400000,34000,34.12,235170,5.7668777,136,48.85999369621277,0.006764
-28.825701622228458,-0.0008381754,148.72794,-1.6389674,0.00068701484,0.745483785867691,3425000,34250,40.86,215110,5.7669187,137,49.20919728279114,0.004948
-29.371259517905056,-0.0006333662,162.26802,-1.6288513,0.001362506,0.7347944378852844,3450000,34500,39.76,235722,5.7671566,138,49.57555389404297,0.010048
-30.38978493146302,-0.0007150375,151.59616,-1.575785,0.0008258365,0.7590100765228271,3475000,34750,40.87,228517,5.7673845,139,49.91746687889099,0.0066039995
-31.847055876551238,-0.0006916815,125.361595,-1.4705609,0.00079984387,0.7755824625492096,3500000,35000,43.11,223809,5.7676764,140,50.27159929275513,0.00414
-29.326791571289068,-0.0010597545,146.36237,-1.6033804,0.00084845617,0.7573540955781937,3525000,35250,37.23,217051,5.7677236,141,50.627573013305664,0.005272
-30.000456351947797,-0.0009276771,132.2694,-1.539159,0.0012215554,0.7671296149492264,3550000,35500,41.92,219853,5.767767,142,50.98664093017578,0.009404001
-28.024295501477244,-0.0009159129,126.965775,-1.5026219,0.00089907076,0.8002305924892426,3575000,35750,41.83,231764,5.7678514,143,51.34208369255066,0.0057039997
